year,doy,hod,PPFD,Tair,VPD,E,A,height,Tleaf,sw,sw0,Ps,Pleaf,LAI,precip,u,coszen,Patm,CO2,O2,max_leaf_width,can_sat,kcanint,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_l2,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,T50,Tcrit,P50,P88,kmax,ratiocrit,gmin20,gminTp,Tp,g1,sfw,nPs,ground_area,Ztop,Zbottom,root_beta,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[-],[umol m-2 s-1],[deg C],[kPa],[mmol m-2 s-1],[umol m-2 s-1],[m],[deg C],[m3 m-3],[m3 m-3],[MPa],[MPa],[m2 m-2],[mm d-1],[m s-1],[-],[kPa],[Pa],[kPa],[m],[mm d-1],[-],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[deg C],[deg C],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[-],[mol m-2 s-1],[mol m-2 s-1],[deg C],[kPa0.5],[-],[MPa],[m2],[m],[m],[1^(cm-1)],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2016,303,0,7.00E-04,18.94267797,0.450382968,0.266179668,-2.663825478,7.91,18.98766667,0.112,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,20.73,0.025,5.8,0.645,91.9177,4.22,25,1.640611112,1.347146,25,39.96,27.48,0.3,0.7,0.9999,0.83,0.93,0.97,0.945,0.108,0.3,0.1,0.25,0.155,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,35,45,4.31,6.64,6.010651,0.05,1.00E-06,1.00E-06,35,2.645608,0.5,2,1,0.1,0.7025,0.94,-0.001490442,0.00000828,0.18,0.15,0.05,6.691151564,0.5
2016,303,0.5,0.000533333,18.90452147,0.442675862,0.256591822,-2.45426546,7.91,18.95433333,0.112,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,1,5.00E-04,18.81788826,0.427009784,0.219273434,-3.495219101,7.91,18.89716667,0.112,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,1.5,0.001166667,18.8493495,0.424026165,0.272907366,-2.327757432,7.91,18.9055,0.112,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,2,0.000666667,18.80786228,0.406456108,0.267158031,-3.61215938,7.91,18.90866667,0.112,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,2.5,0.000866667,18.78663969,0.395577952,0.239594655,-2.204286062,7.91,18.85266667,0.112,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,3,9.00E-04,18.81526136,0.39164329,0.257210226,-3.09435593,7.91,18.89416667,0.112,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,3.5,0.000733333,18.8949008,0.391579997,0.25705237,-2.544858949,7.91,18.96766667,0.112,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,4,0.001733333,18.88027287,0.386050844,0.231678631,-2.169459953,7.91,18.96916667,0.112,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,4.5,0.479766667,18.52347851,0.355120505,0.149564628,-3.056452433,7.91,18.54283333,0.112,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,5,6.267833333,18.49943542,0.343801196,0.274014096,-2.385747108,7.91,18.68483333,0.112,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,5.5,21.11366667,19.00512791,0.370734721,0.378605401,-0.646733585,7.91,19.21533333,0.112,0.086,NA,NA,3.679574586,0,0.5,0.102016747,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,6,38.262,19.35118008,0.369462692,0.401079904,1.248632372,7.91,19.64516667,0.112,0.086,NA,NA,3.679574586,0,0.5,0.207418328,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,6.5,56.34133333,19.76461744,0.356796596,0.506962752,2.632219652,7.91,20.08466667,0.112,0.086,NA,NA,3.679574586,0,0.5,0.311658114,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,7,74.07266667,19.81096697,0.321021713,0.331998286,4.269102012,7.91,20.20583333,0.1115,0.086,NA,NA,3.679574586,0,0.5,0.412952532,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,7.5,131.4086667,19.96598196,0.307126907,0.568794485,6.01219925,7.91,20.68033333,0.111,0.086,NA,NA,3.679574586,0,0.5,0.509568406,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,8,214.54,21.03832483,0.314569952,0.772799878,15.52163507,7.91,21.8885,0.111,0.086,NA,NA,3.679574586,0,0.5,0.599852613,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,8.5,220.2833333,21.17797661,0.264716736,0.836883384,13.2946953,7.91,22.199,0.111,0.086,NA,NA,3.679574586,0,0.5,0.682260365,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,9,1340.483333,23.71858406,0.417317437,3.451296534,35.76308728,7.91,28.21066667,0.111,0.086,NA,NA,3.679574586,0,0.5,0.755381641,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,9.5,1297.833333,24.31058168,0.653372523,6.591244464,40.99169029,7.91,28.89316667,0.111,0.086,NA,NA,3.679574586,0,0.5,0.817965317,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,10,869.7533333,25.90211821,0.992436225,7.383549085,37.55892915,7.91,29.277,0.111,0.086,NA,NA,3.679574586,0,0.5,0.868940569,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,10.5,1168.436667,26.55141783,1.083384604,7.687872831,36.58504652,7.91,28.8025,0.111,0.086,NA,NA,3.679574586,0,0.5,0.907435195,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,11,411.7966667,25.67718554,1.047778776,4.136921111,23.10508242,7.91,26.902,0.111,0.086,NA,NA,3.679574586,0,0.5,0.932790543,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,11.5,351.07,26.13398504,1.090948635,1.966583892,24.41013268,7.91,26.9045,0.111,0.0855,NA,NA,3.679574586,0,0.5,0.944572775,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,12,132.8103333,25.10424232,0.729343852,2.749396598,9.980647473,7.91,25.45433333,0.111,0.085,NA,NA,3.679574586,0,0.5,0.942580294,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,12.5,93.71433333,24.25890875,0.569456025,1.353794475,3.023454524,7.91,24.65733333,0.11,0.085,NA,NA,3.679574586,0,0.5,0.926847191,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,13,174.9933333,24.95494652,0.606793176,1.496732765,8.955516984,7.91,25.66416667,0.11,0.085,NA,NA,3.679574586,0,0.5,0.897642666,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,13.5,301.07,25.85310364,0.818985175,0.044388117,23.74869055,7.91,26.49366667,0.11,0.085,NA,NA,3.679574586,0,0.5,0.855466414,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,14,196.8666667,25.12170029,0.598314224,2.550949063,15.24867811,7.91,25.53266667,0.11,0.085,NA,NA,3.679574586,0,0.5,0.801040084,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
