year,doy,hod,PPFD,Tair,VPD,E,A,height,Tleaf,sw,sw0,Ps,Pleaf,LAI,precip,u,coszen,Patm,CO2,O2,max_leaf_width,can_sat,kcanint,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_l2,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,P50,P88,kmax,ratiocrit,g1,sfw,nPs,ground_area,Ztop,Zbottom,root_beta,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[-],[umol m-2 s-1],[deg C],[kPa],[mmol m-2 s-1],[umol m-2 s-1],[m],[deg C],[m3 m-3],[m3 m-3],[MPa],[MPa],[m2 m-2],[mm d-1],[m s-1],[-],[kPa],[Pa],[kPa],[m],[mm d-1],[-],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[-],[kPa0.5],[-],[MPa],[m2],[m],[m],[1^(cm-1)],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2016,303,0,6.67E-05,18.95739365,0.24001399,0.453337005,-4.208095298,8.36,19.31883333,0.087,0.075,NA,NA,6.323766524,0,0.5,0,101.049,43.95,20.73,0.025,5.8,0.645,91.9177,4.22,25,1.640611112,1.347146,25,39.96,27.48,0.3,0.7,0.9999,0.83,0.93,0.97,0.945,0.108,0.3,0.1,0.25,0.155,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,4.31,6.64,9.942285,0.05,2.645608,0.5,2,1,0.1,0.9925,0.94,-0.001490442,0.00000828,0.18,0.15,0.05,6.691151564,0.5
2016,303,0.5,6.67E-05,18.91860867,0.237576432,0.419774774,-4.130688474,8.36,19.29566667,0.087,0.075,NA,NA,6.323766524,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,1,6.67E-05,18.85620785,0.236530917,0.411214715,-4.672404642,8.36,19.23483333,0.087,0.0755,NA,NA,6.323766524,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,1.5,3.00E-04,18.86190462,0.235468558,0.446779511,-3.907846671,8.36,19.24366667,0.087,0.0755,NA,NA,6.323766524,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,2,0.000333333,18.84754181,0.232511922,0.425241928,-4.277508774,8.36,19.22466667,0.087,0.076,NA,NA,6.323766524,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,2.5,3.33E-05,18.79921675,0.232707596,0.400814822,-3.846846856,8.36,19.17333333,0.087,0.076,NA,NA,6.323766524,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,3,3.00E-04,18.82067204,0.229082604,0.433771953,-4.079550434,8.36,19.20666667,0.087,0.076,NA,NA,6.323766524,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,3.5,0.000133333,18.86249495,0.233055546,0.39232749,-3.861168278,8.36,19.26666667,0.087,0.076,NA,NA,6.323766524,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,303,4,0.000233333,18.88956404,0.231296675,0.421737308,-3.854571033,8.36,19.26966667,0.087,0.076,NA,NA,6.323766524,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
