year,doy,hod,A(pmax),E(pmax),Ci(pmax),gs(pmax),Pleaf(pmax),Tleaf(pmax),Rublim(pmax),ksc(pmax),VCsun(pmax),VCsha(pmax),Eci(pmax),Es(pmax),sw(pmax),Ps(pmax)
[-],[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[Pa],[mol m-2 s-1],[MPa],[degC],[-],[mmol m-2 s-1 MPa-1],[-],[-],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[MPa]
2016.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016.0,303.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010651,1.0,1.0,0.0,0.0,0.112,-0.03564977988411399
2016,303,5.5,-2.5922048473921433,0.37790970114893013,22.05228011326911,0.005897905976121068,-0.03564977988411399,18.544689563466484,False,6.01063392215407,0.999997158736062,0.999997158736062,0.0,0.0,0.112,-0.03564977988411399
2016,303,6.0,-2.137472170933276,0.40034290651200083,22.03369239247356,0.013010385422292813,-0.03564977988411399,18.933393730170565,False,6.01063392215407,0.999997158736062,0.999997158736062,0.0,0.0,0.112,-0.03564977988411399
2016,303,6.5,-1.6128698529691512,0.5060311913034732,22.49792527713077,0.026123071532788412,-0.0736070598378821,19.375315784805867,False,6.01063392215407,0.9999814616268387,0.9999814616268387,0.0,0.0,0.112,-0.03564977988411399
2016,303,7.0,-1.0532466172830786,0.33138822825249925,21.39569294660502,0.02467695653115285,-0.03673320302919571,19.53706559287219,False,6.010632546886653,0.9999969299309929,0.9999969299309929,0.0,0.003650374619603474,0.1115,-0.03673320302919571
2016,303,7.5,0.843066480547372,0.5677493064646207,23.40182491192973,0.05183327220926105,-0.07580084557015776,19.784423028216757,False,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.01866849096374706,0.111,-0.037854645342310235
2016,303,8.0,2.8048487489149796,0.7713798328590395,22.67630747748545,0.4071943943023353,-0.07580084557015776,21.023237763231513,False,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.04177000339175591,0.111,-0.037854645342310235
2016,303,8.5,3.0086254327729147,0.835345583313391,24.028637755785414,1.371643840365339,-0.07580084557015776,21.15846144735059,False,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.04456911876386062,0.111,-0.037854645342310235
2016.0,303.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.34953314992489865,0.111,-0.037854645342310235
2016.0,303.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.3371133478128862,0.111,-0.037854645342310235
2016.0,303.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.2216814912758102,0.111,-0.037854645342310235
2016.0,303.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.3070574843358294,0.111,-0.037854645342310235
2016.0,303.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.09219015438544031,0.111,-0.037854645342310235
2016.0,303.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.07485982086878933,0.111,-0.037854645342310235
2016.0,303.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.01974290856366594,0.111,-0.037854645342310235
2016.0,303.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.01083015316745983,0.11,-0.040217713132218724
2016.0,303.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010631053928128,0.9999799982515537,0.9999799982515537,0.0,0.033236354612020506,0.11,-0.040217713132218724
2016,303,13.5,-2.3094247452288013,0.044306552378088615,10.19061413745596,0.0030671884775806567,-0.040217713132218724,26.292096364652732,False,6.01062767123044,0.999996118761585,0.999996118761585,0.0,0.06515875818366826,0.11,-0.040217713132218724
2016,303,14.0,0.8418828508017167,2.546261610368504,25.406220148628982,0.14865110805558898,-0.15402068967822502,24.497154865422612,False,6.01062767123044,0.9998747986717622,0.9998747986717622,0.0,0.039691762269428686,0.11,-0.040217713132218724
2016.0,303.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9998747986717622,0.0,0.005566401644582514,0.11,-0.040217713132218724
2016.0,303.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9998747986717622,0.9998747986717622,0.0,0.0006936754898177936,0.11,-0.040217713132218724
2016,303,15.5,0.8661676883736145,1.1260580372319862,23.59541989731687,0.072255293578021,-0.07815203864755416,23.814895830564815,False,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.03672190360069857,0.11,-0.040217713132218724
2016,303,16.0,-1.057682289701755,0.9933264408936743,22.516566657214938,0.0551624878480684,-0.07815203864755416,23.98842915460674,False,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.02118336963740476,0.11,-0.040217713132218724
2016,303,16.5,-2.448811939209992,1.0418921714842964,22.79198347830907,0.05232813062403191,-0.07815203864755416,23.951877061020035,False,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.010420701674549662,0.11,-0.040217713132218724
2016.0,303.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.004038136298296049,0.11,-0.040217713132218724
2016.0,303.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.11,-0.040217713132218724
2016.0,303.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,303.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.109,-0.04275193063584228
2016.0,304.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.01062767123044,0.9999783534840815,0.9999783534840815,0.0,0.0,0.1085,-0.04408758946698625
2016,304,5.0,-2.5941174571959222,0.3293040829879568,10.59069810774865,2.419605192853676e-07,-0.04547143795776919,18.646698230866196,False,6.010618949404005,0.9999946676997226,0.9999946676997226,0.0,0.0,0.108,-0.04547143795776919
2016,304,5.5,-0.8621075513816795,0.5247366661037597,30.382190686514527,0.008436323013588449,-0.08337936284584055,19.418820062151433,False,6.010618949404005,0.999974406462005,0.999974406462005,0.0,0.0033922236921889357,0.108,-0.04547143795776919
2016,304,6.0,0.6374181314381189,0.7067600773727312,25.01217485605725,0.02406237281873971,-0.08337936284584055,20.31919482421422,False,6.010618949404005,0.999974406462005,0.999974406462005,0.0,0.01933736178389494,0.108,-0.04547143795776919
2016,304,6.5,2.320349777022393,0.9576734520358072,27.007234350506533,0.0430208986510259,-0.08337936284584055,22.02172060307661,False,6.010618949404005,0.999974406462005,0.999974406462005,0.0,0.03975448215293642,0.108,-0.04547143795776919
2016.0,304.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010618949404005,0.999974406462005,0.999974406462005,0.0,0.0760740811424286,0.108,-0.04547143795776919
2016.0,304.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010618949404005,0.999974406462005,0.999974406462005,0.0,0.1019690608808685,0.108,-0.04547143795776919
2016.0,304.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010618949404005,0.999974406462005,0.999974406462005,0.0,0.10200028333608867,0.108,-0.04547143795776919
2016.0,304.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010618949404005,0.999974406462005,0.999974406462005,0.0,0.14811243756859443,0.108,-0.04547143795776919
2016.0,304.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010618949404005,0.999974406462005,0.999974406462005,0.0,0.1430985966407729,0.108,-0.04547143795776919
2016,304,9.5,7.757447214427634,4.499898003723315,29.233523738577034,1.379606617068124,-0.23501106239812597,26.957685380608947,False,6.010618949404005,0.9996264906389238,0.9996264906389238,0.0,0.12604130199741886,0.108,-0.04547143795776919
2016.0,304.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010618949404005,0.9996264906389238,0.9996264906389238,0.0,0.14648868096969306,0.108,-0.04547143795776919
2016.0,304.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010618949404005,0.9996264906389238,0.9996264906389238,0.0,0.1289368157557561,0.108,-0.04547143795776919
2016,304,11.0,2.6178361735346387,3.0093082096764436,24.057273482617198,0.11500456704116067,-0.19850832524435774,29.00105218992357,False,6.0106162686778735,0.9997586345619869,0.9997586345619869,0.0,0.09066865338488805,0.1075,-0.046905450055852886
2016.0,304.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0106162686778735,0.9997586345619869,0.9997586345619869,0.0,0.09167233948103569,0.107,-0.048391690295205986
2016.0,304.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0106162686778735,0.9997586345619869,0.9997586345619869,0.0,0.08675535213232541,0.107,-0.048391690295205986
2016,304,12.5,1.1425100665908587,5.323382023174249,25.39876598376277,0.061753945660952124,-0.27575119181446517,29.728274381007633,False,6.010613349638567,0.9994352242264815,0.9994352242264815,0.0,0.07405752003707436,0.107,-0.048391690295205986
2016,304,13.0,-0.647387874579374,5.496406994810801,24.44779726418195,0.06493119981304656,-0.31364444206767494,29.06094365024924,False,6.010613349638567,0.9992120555803398,0.9992120555803398,0.0,0.04717207480420496,0.107,-0.048391690295205986
2016,304,13.5,-1.4020280023186196,5.743497353323813,24.0551817655071,0.0651040730769324,-0.31364444206767494,29.08962024452734,False,6.010613349638567,0.9992120555803398,0.9992120555803398,0.0,0.037880093731498865,0.107,-0.048391690295205986
2016.0,304.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010613349638567,0.9992120555803398,0.9992120555803398,0.0,0.03234795292551713,0.1065,-0.04993231840392216
2016,304,14.5,-1.3429982149639157,5.457765379761408,23.941677611221163,0.05489673082449642,-0.31667196741379317,29.096537210257747,False,6.010606704581266,0.9991922360113328,0.9991922360113328,0.0,0.03864280953940689,0.106,-0.05152959416956806
2016.0,304.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010606704581266,0.9991922360113328,0.9991922360113328,0.0,0.016024592554375116,0.106,-0.05152959416956806
2016.0,304.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010606704581266,0.9991922360113328,0.9991922360113328,0.0,0.0,0.106,-0.05152959416956806
2016.0,304.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010606704581266,0.9991922360113328,0.9991922360113328,0.0,0.0,0.106,-0.05152959416956806
2016.0,304.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010606704581266,0.9991922360113328,0.9991922360113328,0.0,0.0,0.106,-0.05152959416956806
2016.0,304.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.010606704581266,0.9991922360113328,0.9991922360113328,0.0,0.0,0.106,-0.05152959416956806
