year,doy,hod,A(uso),A(pmax),E(uso),E(pmax),Ci(uso),Ci(pmax),gs(uso),gs(pmax),Pleaf(uso),Pleaf(pmax),Tleaf(uso),Tleaf(pmax),Rublim(uso),Rublim(pmax),ksc(pmax),VCsun(pmax),VCsha(pmax),Eci(uso),Eci(pmax),Es(uso),Es(pmax),sw(uso),sw(pmax),Ps(uso),Ps(pmax)
[-],[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[Pa],[Pa],[mol m-2 s-1],[mol m-2 s-1],[MPa],[MPa],[degC],[degC],[-],[-],[mmol m-2 s-1 MPa-1],[-],[-],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[m3 m-3],[MPa],[MPa]
2016.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087467,1.0,1.0,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087467,1.0,1.0,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087467,1.0,1.0,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087467,1.0,1.0,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087467,1.0,1.0,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087467,1.0,1.0,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087467,1.0,1.0,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087467,1.0,1.0,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016.0,303.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087467,1.0,1.0,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,5.087467,1.0,1.0,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,5.0,0.0,-1.5122497733844567,0.0,0.211368939397629,0.0,4.979477866362141,0.0,0.05841784342662356,0.0,-0.36844676716639596,0.0,15.376331898206011,False,False,5.081387900675947,0.9988050832911439,0.9988050832911439,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
2016,303,5.5,-0.6621806106857488,-0.9620415055207069,0.816775386,0.4078479143680872,38.08049746749482,24.519407584569567,0.006752236473678314,0.10846526136128097,0.0,-0.40473170045040385,15.91995624572738,15.955085684034437,False,False,5.081387900675947,0.9984766554096351,0.9984766554096351,0.0,0.0,0.0,0.0,0.079,0.079,-0.36844676716639596,-0.36844676716639596
